Experiments on FB15k ,FB15k,,,,,,,,
,filtered_mean_rank,filtered_mean_rank_h,filtered_mean_rank_t,filtered_hits10,filtered_hits10_h,filtered_hits10_t,filtered_MRR,filtered_hits1,filtered_hits5
"Parameters
batch=128,dim=32,haar=0,iter=50,workers=24,neg_weight=0.1",,,,,,,,,
dc=1,163.9214335,181.9178446,145.9250224,0.550718627,0.516666385,0.584770869,0.352510869,0.248582215,0.46626094
dc=2,147.9155677,166.1990994,129.632036,0.582214623,0.548153916,0.61627533,0.376785826,0.269303042,0.494464289
dc=3,141.485492,157.5435154,125.4274686,0.594081698,0.559157624,0.629005773,0.386286483,0.277885934,0.50555264
dc=4,140.7338542,157.4315993,124.0361091,0.599659732,0.563880754,0.635438709,0.389486188,0.28106008,0.509437795
dc=5,132.6972711,149.0046723,116.3898698,0.605982631,0.574715173,0.637250089,0.393523557,0.28425962,0.515540621
dc=6,140.1450627,157.3360532,122.9540722,0.606761355,0.5733778,0.64014491,0.394171196,0.284420443,0.517411251
dc=7,134.2170608,150.9781957,117.4559259,0.609063669,0.574275025,0.643852313,0.394586313,0.28370097,0.519984426
dc=8,135.8245163,152.4804727,119.1685599,0.609182171,0.577135989,0.641228352,0.395953944,0.286189501,0.519400383
dc=9,134.4851111,149.394813,119.5754093,0.610121718,0.578422576,0.64182086,0.397368646,0.288051667,0.520136785
dc=10,128.3206142,144.1661729,112.4750554,0.615166495,0.582688629,0.64764436,0.399707281,0.288855784,0.523158572
dc=11,133.8282067,150.1569129,117.4995006,0.613194292,0.578524149,0.647864434,0.398572535,0.288220954,0.52338711
dc=12,135.9336561,152.5851094,119.2822028,0.615098779,0.583822857,0.646374702,0.400060573,0.289507542,0.523607185
dc=13,134.9968089,150.0392748,119.9543431,0.614667096,0.582468555,0.646865636,0.398517012,0.288373313,0.522515278
dc=14,135.2663913,151.6716832,118.8610994,0.613642904,0.578151716,0.649134093,0.396632998,0.285664709,0.522574529
dc=15,132.0055357,148.6915745,115.3194969,0.616774729,0.582146908,0.651402549,0.400758102,0.28925361,0.527331516
dc=16,131.5413993,147.9098035,115.1729952,0.616952481,0.584635439,0.649269523,0.397804645,0.285808603,0.524148906
dc=17,133.3184134,148.2321274,118.4046994,0.616656227,0.584516937,0.648795517,0.397418149,0.28516531,0.522828461
dc=18,132.1404666,147.3524741,116.928459,0.615547392,0.581571329,0.649523455,0.398154418,0.287010547,0.523531005
dc=19,128.6973896,144.7150717,112.6797075,0.617494202,0.585481878,0.649506526,0.400256829,0.288889641,0.525274669
dc=20,131.9054528,147.6035957,116.2073098,0.619720337,0.586209815,0.653230858,0.399195611,0.287509946,0.525697889
dc=21,130.9164141,147.0435747,114.7892536,0.621091568,0.588545987,0.653637149,0.40098622,0.28994769,0.526485077
dc=22,133.8064786,150.0629243,117.550033,0.619796516,0.588021195,0.651571837,0.401312977,0.289744545,0.527924024
dc=23,133.6707268,151.5991095,115.742344,0.616106042,0.582824059,0.649388025,0.399017134,0.287281407,0.525460886
dc=24,132.7875946,148.8127,116.7624892,0.617561917,0.583839786,0.651284048,0.397892551,0.285317669,0.524360515
dc=25,132.7831508,147.3218161,118.2444854,0.620389023,0.588529058,0.652248989,0.39972846,0.28807706,0.527695485
dc=26,133.3954732,151.001422,115.7895245,0.621929542,0.589680215,0.654178869,0.39895812,0.286045606,0.527035263
dc=27,133.1295475,148.7711229,117.4879721,0.619466405,0.587242471,0.651690339,0.398132751,0.285097594,0.526925226
dc=28,132.0530463,148.3411149,115.7649777,0.619356368,0.587411759,0.651300977,0.395948618,0.282727565,0.524318193
dc=29,136.388998,153.3981818,119.3798141,0.617925886,0.585092516,0.650759256,0.396780147,0.284090332,0.524250478
dc=30,132.1607642,147.0110037,117.3105246,0.622395084,0.591948672,0.652841496,0.402822943,0.290353981,0.531115099
dc=31,130.6162415,146.8253458,114.4071372,0.617925886,0.584500008,0.651351763,0.39779077,0.285334597,0.525782533
dc=32,132.9658462,150.0051633,115.9265291,0.620202807,0.588766061,0.651639552,0.399130261,0.286054071,0.52789863