"Task_Name","Task_ID","Experiment_Name","Experiment_ID","metric_filtered_hits10_t","metric_filtered_hits1_t","metric_filtered_hits5_t","metric_filtered_mean_rank_t","metric_filtered_MRR_t","env_BATCHSIZE","env_DC","env_DIM","env_HAAR"
"proje_nips2018-rvec-scaling","tk_4eude1z0bj6u","","ex_ci00bc76q8sf",0.8549203500871833,0.5972135227099592,0.8067579692234769,43.820233278596945,0.6923592331160003,"128","1","","0"
"proje_nips2018-rvec-scaling","tk_mqq79phj0sgj","","ex_f51u42yfbil1",0.856223866194918,0.5924565353557584,0.806707182881617,41.135853464474955,0.6900598248067781,"128","1","","3"
"proje_nips2018-rvec-scaling","tk_eqkev2hhy9rh","","ex_px8e9mpmw5lt",0.8107700902304007,0.5066953327351831,0.7498095512180257,58.43997900831203,0.616779070378998,"128","1","150","3"
"proje_nips2018-rvec-scaling","tk_uc5yxcqfmwmx","","ex_sic2zj1nmb8t",0.8800257317465423,0.6626094022447563,0.840564744121481,36.32144368641127,0.7436904059796529,"128","2","","0"
"proje_nips2018-rvec-scaling","tk_y3281ihx0ysi","","ex_ajwak5g6wdk3",0.8914188011037565,0.6961791742140814,0.8570195188840548,33.66719710179276,0.7688990412072201,"128","3","","0"
"proje_nips2018-rvec-scaling","tk_oegrerrzpiz5","","ex_bbsd6309rofo",0.8951431328401416,0.719642464153307,0.8649591169948029,34.65302771241387,0.7854196554526706,"128","4","","0"
"proje_nips2018-rvec-scaling","tk_k145tw5ngjxx","","ex_50t2tm4cqueq",0.9001540519036414,0.7272265578710365,0.869157454588546,36.0542736706675,0.7920364002913053,"128","5","","0"
"proje_nips2018-rvec-scaling","tk_cl9jkoocqww3","","ex_9i1mt5c6g7g7",0.9030150158284099,0.7386365560088707,0.8725432107125324,36.39767398554282,0.8000282081348715,"128","6","","0"
"proje_nips2018-rvec-scaling","tk_tnf5uq6p3h2r","","ex_sm7w8apwx848",0.9025071524098119,0.7450864214250648,0.8751671717086218,33.976553638841395,0.8045979412544841,"128","7","","0"
"proje_nips2018-rvec-scaling","tk_9k0a0ygyejra","","ex_eh0sorc0ktvx",0.9048941104772223,0.7540756039342487,0.8752179580504816,34.88180325371164,0.809690706806964,"128","8","","0"
"proje_nips2018-rvec-scaling","tk_wah8esp2tvfq","","ex_v4b2mo8ynsga",0.9054019738958203,0.7547019688171861,0.8757088926884596,35.03939327250258,0.8102484435835214,"128","9","","0"
"proje_nips2018-rvec-scaling","tk_k8279f3r6ms2","","ex_e8ybnb8cechu",0.9088554451422864,0.7551421171133044,0.8793655093023649,35.78177108902846,0.8116171449731562,"128","10","","0"
"proje_nips2018-rvec-scaling","tk_yugpve8hr8vy","","ex_nm4iepadewbk",0.9105821807655194,0.7582400839667519,0.8827004790844916,35.84552487684312,0.8147971546999611,"128","11","","0"
"proje_nips2018-rvec-scaling","tk_qhx0840y6ao1","","ex_vzymypt4n1mg",0.910209747591881,0.7649946674341047,0.8809568146806386,36.185962655109954,0.8178719304705078,"128","12","","0"
"proje_nips2018-rvec-scaling","tk_1j9mq5wi62id","","ex_4d6so0x9hk1k",0.9108699700360583,0.7735267728665505,0.8860015913053783,37.15623571634135,0.8240460031296422,"128","13","","0"
"proje_nips2018-rvec-scaling","tk_cu7ff3u6ygxl","","ex_mfvyfl2s8f49",0.9111408305259772,0.770411877232483,0.8841902117790456,37.634067478119555,0.8214746033023959,"128","14","","0"
"proje_nips2018-rvec-scaling","tk_mnpuiw8kkwd8","","ex_2nufmir7toae",0.9118179817507744,0.7757952294696213,0.8852736537387212,37.240541043828614,0.8255969244833185,"128","15","","0"
"proje_nips2018-rvec-scaling","tk_89doam2o4ugu","","ex_aunnvdlhzycx",0.9112254744290769,0.7722063279781958,0.8856968732542195,36.70659037429534,0.8227099333727583,"128","16","","0"
"proje_nips2018-rvec-scaling","tk_voe675lfawzn","","ex_cn5m1xgcb76e",0.91293528127169,0.7842765485602072,0.8868480303363748,38.82788508743715,0.8306650184031938,"128","24","","0"
"proje_nips2018-rvec-scaling","tk_ijquh4leainu","","ex_4i3cygut6tpb",0.9123258451693724,0.7879331651741125,0.8864248108208765,39.9883699277141,0.8326723898782001,"128","32","","0"
"proje_baselineC_nips2018","tk_td1ciswvxevg","","ex_axcap25mlr9u",0.8553604983833014,0.5944710602495302,0.807959912647492,42.69282727565133,0.6915912747376967,"128","","256",""
"proje_baselineA_nips2018","tk_lz0oc6uonwqw","","ex_axcap25mlr9u",0.8272079362123547,0.5920841021821198,0.7740684938463882,60.53166528414958,0.6748898495957247,"128","","256",""
"proje_baselineB_nips2018","tk_siabkmb5ehsl","","ex_axcap25mlr9u",0.8467098914865162,0.603968106177312,0.7932318735081512,49.166426842274554,0.6905219189875594,"128","","256",""